DATE,all_const_emp,emratio,gdp,home_ow_rate,house_st,income,IPI_Cement,labor_percent,monthly_supply,mortgage_rate,MSPUS,new_private_house,new_private_hw_under,permit,personal_saving_rate,population,PPI_Cement,PPI_Concrete,target,total_emp_cons,unemployed_rate
1987-01-01,2889.2,244.0,18888.624,255.6,7096.0,15280.8,494.9492,261.6,24.0,36.816,391600.0,23585.578889387718,4360.0,6760.0,37.6,967428.0,400.4,4.745324192013545,254.94,20028.0,26.4
1987-02-01,2896.8,244.4,18888.624,255.6,7136.0,15380.0,492.668,262.0,24.8,36.33,391600.0,22193.27647036468,4384.0,6756.0,32.8,968020.0,403.2,4.745324192013545,256.54,20152.0,26.4
1987-03-01,2911.6,244.8,18888.624,255.6,6904.0,15455.2,490.2824,262.0,24.0,36.14,391600.0,21027.73006097844,4336.0,6816.0,32.4,968664.0,404.8,4.745324192013545,257.88,20156.0,26.4
1987-04-01,2912.4,245.2,19224.64,255.6,6456.0,15501.6,494.138,261.6,24.0,39.33,413600.0,21646.888505708393,4316.0,6404.0,16.4,969352.0,403.2,4.745324192013545,259.892,20212.0,25.2
1987-05-01,2910.4,246.4,19224.64,255.6,6512.0,15634.4,495.3816,262.8,26.8,42.384,413600.0,21314.241180473473,4280.0,6000.0,31.2,970064.0,404.8,4.740049086260709,262.188,20320.0,25.2
1987-06-01,2914.0,245.6,19224.64,255.6,6376.0,15678.8,493.2048,262.0,27.6,42.15,413600.0,20142.681965663665,4240.0,6088.0,29.2,970824.0,404.8,4.740049086260709,264.872,20344.0,24.8
1987-07-01,2928.4,246.4,19538.22,256.4,6300.0,15768.4,509.21000000000004,262.4,26.8,41.112,424000.0,20892.266790387137,4204.0,6064.0,28.4,971632.0,404.4,4.740049086260709,267.144,20368.0,24.4
1987-08-01,2916.8,247.2,19538.22,256.4,6420.0,15914.4,490.5308,262.8,27.2,41.32,424000.0,19978.45999893043,4180.0,6044.0,27.2,972472.0,404.4,4.740049086260709,269.08,20408.0,24.0
1987-09-01,2926.4,246.4,19538.22,256.4,6780.0,15982.4,501.6388,262.0,27.2,43.55,424000.0,19427.920650256176,4192.0,6056.0,28.8,973340.0,404.4,4.740049086260709,270.496,20384.0,23.6
1987-10-01,2965.2,247.2,20031.976,256.4,6060.0,16138.8,509.658,262.8,27.2,45.04,446000.0,19279.618333983293,4164.0,5788.0,31.6,974172.0,404.0,4.740049086260709,271.612,20568.0,24.0
1987-11-01,2971.2,247.6,20031.976,256.4,6624.0,16248.4,509.158,262.8,28.0,42.6,446000.0,19294.43907753597,4168.0,5828.0,32.8,974896.0,403.6,4.740049086260709,272.372,20608.0,23.2
1987-12-01,2974.0,248.0,20031.976,256.4,5600.0,16462.8,498.30719999999997,262.8,30.4,42.56,446000.0,20097.869406781298,4072.0,5380.0,33.6,975580.0,402.4,4.740049086260709,273.376,20720.0,22.8
1988-01-01,2980.0,248.0,20293.488,255.2,5084.0,16512.8,446.9976,263.2,30.0,41.53,440000.0,18939.32607508033,4032.0,4976.0,31.6,976224.0,402.8,4.740049086260709,274.332,20376.0,22.8
1988-02-01,2988.0,248.4,20293.488,255.2,5892.0,16612.0,478.494,263.6,26.4,39.57,440000.0,17414.88749986687,3904.0,5752.0,33.6,976820.0,406.0,4.740049086260709,275.664,20648.0,22.8
1988-03-01,3000.4,247.6,20293.488,255.2,6128.0,16713.2,499.4552,262.8,26.4,39.72,440000.0,19621.02783945259,3976.0,6100.0,32.0,977448.0,404.4,4.763569099124841,277.3,20804.0,22.8
1988-04-01,3016.0,248.8,20760.144,255.2,6292.0,16838.0,492.9548,263.2,25.6,40.808,440000.0,19844.282656534462,3996.0,5716.0,34.8,978112.0,406.4,4.763569099124841,279.156,20908.0,21.6
1988-05-01,3004.8,248.0,20760.144,255.2,5684.0,16903.6,503.53840000000014,262.8,26.4,41.82,440000.0,17896.03392463701,3948.0,5776.0,33.2,978832.0,409.2,4.763569099124841,281.63599999999997,20912.0,22.4
1988-06-01,3028.0,249.2,20760.144,255.2,5912.0,17035.6,507.1708,263.2,24.8,41.84,440000.0,18320.8446102846,3920.0,5940.0,33.6,979656.0,406.8,4.763569099124841,284.272,21044.0,21.6
