DATE,all_const_emp,emratio,gdp,home_ow_rate,house_st,income,IPI_Cement,labor_percent,monthly_supply,mortgage_rate,MSPUS,new_private_house,new_private_hw_under,permit,personal_saving_rate,population,PPI_Cement,PPI_Concrete,target,total_emp_cons,unemployed_rate
1987-01-01,722.3,61.0,4722.156,63.9,1774.0,3820.2,123.7373,65.4,6.0,9.204,97900.0,7975.071505281073,1090.0,1690.0,9.4,241857.0,100.1,1.7410281092520057,63.735,5007.0,6.6
1987-02-01,724.2,61.1,4722.156,63.9,1784.0,3845.0,123.167,65.5,6.2,9.0825,97900.0,7502.554715828469,1096.0,1689.0,8.2,242005.0,100.8,1.7410281092520057,64.135,5038.0,6.6
1987-03-01,727.9,61.2,4722.156,63.9,1726.0,3863.8,122.5706,65.5,6.0,9.035,97900.0,7106.862208528659,1084.0,1704.0,8.1,242166.0,101.2,1.7410281092520057,64.47,5039.0,6.6
1987-04-01,728.1,61.3,4806.16,63.9,1614.0,3875.4,123.5345,65.4,6.0,9.8325,103400.0,7317.075601491655,1079.0,1601.0,4.1,242338.0,100.8,1.7410281092520057,64.973,5053.0,6.3
1987-05-01,727.6,61.6,4806.16,63.9,1628.0,3908.6,123.8454,65.7,6.7,10.596,103400.0,7204.141041410865,1070.0,1500.0,7.8,242516.0,101.2,1.7400712490221621,65.547,5080.0,6.3
1987-06-01,728.5,61.4,4806.16,63.9,1594.0,3919.7,123.3012,65.5,6.9,10.5375,103400.0,6806.318957740805,1060.0,1522.0,7.3,242706.0,101.2,1.7400712490221621,66.218,5086.0,6.2
1987-07-01,732.1,61.6,4884.555,64.1,1575.0,3942.1,127.3025,65.6,6.7,10.278,106000.0,7060.8660647344095,1051.0,1516.0,7.1,242908.0,101.1,1.7400712490221621,66.786,5092.0,6.1
1987-08-01,729.2,61.8,4884.555,64.1,1605.0,3978.6,122.6327,65.7,6.8,10.33,106000.0,6750.545576964803,1045.0,1511.0,6.8,243118.0,101.1,1.7400712490221621,67.27,5102.0,6.0
1987-09-01,731.6,61.6,4884.555,64.1,1695.0,3995.6,125.4097,65.5,6.8,10.8875,106000.0,6563.554428250854,1048.0,1514.0,7.2,243335.0,101.1,1.7400712490221621,67.624,5096.0,5.9
1987-10-01,741.3,61.8,5007.994,64.1,1515.0,4034.7,127.4145,65.7,6.8,11.26,111500.0,6513.179292982368,1041.0,1447.0,7.9,243543.0,101.0,1.7400712490221621,67.903,5142.0,6.0
1987-11-01,742.8,61.9,5007.994,64.1,1656.0,4062.1,127.2895,65.7,7.0,10.65,111500.0,6518.213661471341,1042.0,1457.0,8.2,243724.0,100.9,1.7400712490221621,68.093,5152.0,5.8
1987-12-01,743.5,62.0,5007.994,64.1,1400.0,4115.7,124.5768,65.7,7.6,10.64,111500.0,6791.099848915028,1018.0,1345.0,8.4,243895.0,100.6,1.7400712490221621,68.344,5180.0,5.7
1988-01-01,745.0,62.0,5073.372,63.8,1271.0,4128.2,111.7494,65.8,7.5,10.3825,110000.0,6397.582768419983,1008.0,1244.0,7.9,244056.0,100.7,1.7400712490221621,68.583,5094.0,5.7
1988-02-01,747.0,62.1,5073.372,63.8,1473.0,4153.0,119.6235,65.9,6.6,9.8925,110000.0,5879.6280848883835,976.0,1438.0,8.4,244205.0,101.5,1.7400712490221621,68.916,5162.0,5.7
1988-03-01,750.1,61.9,5073.372,63.8,1532.0,4178.3,124.8638,65.7,6.6,9.93,110000.0,6629.1462131733215,994.0,1525.0,8.0,244362.0,101.1,1.7443295685360585,69.325,5201.0,5.7
1988-04-01,754.0,62.2,5190.036,63.8,1573.0,4209.5,123.2387,65.8,6.4,10.202,110000.0,6704.974379019057,999.0,1429.0,8.7,244528.0,101.6,1.7443295685360585,69.789,5227.0,5.4
1988-05-01,751.2,62.0,5190.036,63.8,1421.0,4225.9,125.8846,65.7,6.6,10.455,110000.0,6043.124136087607,987.0,1444.0,8.3,244708.0,102.3,1.7443295685360585,70.40899999999999,5228.0,5.6
1988-06-01,757.0,62.3,5190.036,63.8,1478.0,4258.9,126.7927,65.8,6.2,10.46,110000.0,6187.463337081137,980.0,1485.0,8.4,244914.0,101.7,1.7443295685360585,71.068,5261.0,5.4
1988-07-01,747.1,62.3,5282.835,63.8,1467.0,4298.8,120.8889,65.9,6.6,10.432,115000.0,6262.360892758185,971.0,1439.0,8.6,245131.0,101.5,1.7446402085699997,71.686,5270.0,5.4
